Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
05/16/2025,748.1531(a)(1) - Child Care,Child Care,No,05/23/2025,,J:Child Care,Medium High,Yes,"During the inspection, it was observed that the operation did not have current medical documentation on file for three children in care as required. ",
05/16/2025,748.1501(b) - Child Care,Child Care,No,05/23/2025,,J:Child Care,Medium Low,Yes,"During the inspection, it was observed that the operation did not have current documentation on file for two children in care as required . ",
05/16/2025,748.2151(d) - Medication,Medication,No,05/23/2025,,L:Medication,Medium High,Yes,"The medication record indicated that there were to be twenty-one pills remaining, but the actual pill count was twenty.",
05/16/2025,748.949(a) - Training and Professional Development,Training and Professional Development,No,05/23/2025,,F:Training and Professional Development,Medium Low,No,"During the review of the employee files, it was noted that one employee was missing the required annual trainings. ",
04/18/2025,748.1337(b)(1)(A)(v) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/23/2025,06/23/2025,Individual Standards Evaluated,Medium Low,No,During the investigation service plans were unable to be reviewed due to the operation not providing records in a timely manner. ,"The operation sent their compliance plan via email on 6/23/2025. 

Corrective Action Steps:
1. High-Risk Screening: All youth will be assessed for high-risk behaviors at intake. Results will determine need for individualized safety contracts.
2. Safety Contract Template: Develop and implement a standardized safety contract template to be customized per child and signed within 72 hours of intake.
3. Training: All clinical and direct care staff will be trained on how to collaboratively develop and implement safety contracts with youth.
4. Supervisor Review: Director of Compliance will ensure the inclusion of safety contracts in all initial plans for high-risk youth before approval.



"
04/18/2025,748.1337(b)(1)(H)(ii) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/23/2025,06/23/2025,Individual Standards Evaluated,High,No,During the investigation service plans were unable to be reviewed due to the operation not providing records in a timely manner. ,"The operation sent their compliance plan via email on 6/23/2025. 

Corrective Action Steps:
1. IEP/Educational Summary Requirement: Require inclusion of IEPs, assessments, and school records at the time of admission or within 7 days.
2. Educational Section Checklist: Add a service plan checklist item specific to academic needs, school attendance, tutoring, or special education services.
3. Collaboration with School Liaisons: Strengthen communication protocols with LEAs to ensure documentation and recommendations are up to date.
4.QA Monitoring: Director of Compliance will verify that all Initial Service Plans include required educational content before final approval.


"
04/18/2025,748.399(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/23/2025,06/23/2025,Individual Standards Evaluated,Medium,No,During the investigation service plans were unable to be reviewed due to the operation not providing records in a timely manner.,"The operation sent their compliance plan via email on 6/23/2025. The operation provided corrections and an updated record access protocol. 
Corrective Action Steps:
1. Record Access Protocol: Implement a centralized digital record-keeping system (secured and access-controlled) to ensure all active service plans and required documents are stored in a Licensing-ready format.
2. Staff Training: Train all case management and administrative staff on procedures for responding to licensing record requests within one hour.
3. On-Site Licensing File Binder: Create and maintain an on-site binder of all current records required for immediate inspection.
4. QA Oversight: Assign Director of Compliance to conduct random monthly audits to verify file accessibility and completeness.

A staff training was conducted to ensure staff are able to respond to licensing record requests within the required timeframe. 

"
09/27/2024,748.1103(a) - Children's Rights,Children's Rights,No,10/04/2024,10/15/2024,H:Children's Rights,Medium,Yes,The child's file was missing the required signed child rights.,"An email was sent with the following information. In response to the requirement to inform children of their rights, we will develop a standardized process to review the rights of children and their parents within 7 days of admission. A written document outlining these rights will be created and made accessible to all children and parents upon admission. To ensure compliance, we will implement a tracking system via the casebook calendar to verify that rights have been reviewed and documented for each child. We will develop clear guidelines for staff on how to effectively communicate childrens rights and support families during the admission process. Photos were provided "
09/27/2024,"748.1381(2) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,10/04/2024,10/15/2024,"I:Admission, Service Planning, Discharge",Medium Low,Yes,The child's file was missing the required 90-day service plans when receiving treatment services. ,"In response to the need for timely service plan reviews, we will establish a schedule to review service plans for children receiving treatment services every 90 days from the date of the last service plan. The review process, along with any updates made during the review, will be documented. We will distribute information to staff about the importance of timely service plan reviews, specifically for children with emotional disturbances, autism spectrum disorders, or pervasive developmental disorders. A tracking system will be utilized via the casebook calendar to ensure that all service plan reviews are completed on time and in accordance with established standards. Photos were provided"
09/27/2024,"748.1337(b)(1)(N) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,10/04/2024,10/15/2024,"I:Admission, Service Planning, Discharge",Low,No,The child's file was missing the required signatures.,"To comply with the citation regarding the initial service plan, we will revise our current documentation to ensure that it includes the signatures of all service planning team members involved in its development. A meeting will be held to emphasize the importance of collaborative input in service plan development. We will implement a checklist to verify that all required signatures are obtained before finalizing the service plan. Regular reviews of service plans will be conducted to ensure compliance and necessary adjustments. Photos were provided"
