Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
04/20/2021,748.3301(i) - Physical Site,Physical Site,No,05/04/2021,05/05/2021,P:Physical Site,Medium High,Yes,The facility has an odor of raw sewage coming from the broken dishwasher.  The bunkbeds are unsteady and lacking mattress protectors.  ,The operation has eliminated the sewage smell and the  broken dishwasher has been removed.  The bunk beds have been replaced and are now stable and  safe. All beds now have  mattress protectors.  
04/20/2021,748.863(a)(2) - Training and Professional Development,Training and Professional Development,No,05/04/2021,05/05/2021,F:Training and Professional Development,Medium,Yes,Three of four employees required to complete normalcy training have not completed the training. ,All employees completed normalcy training. Records were reviewed and saved with all follow up records.  
04/20/2021,748.3301(f) - Physical Site,Physical Site,No,05/04/2021,05/05/2021,P:Physical Site,Medium High,Yes,"The external grounds of the facility have significant debris, a low hanging electrical line, and an old air conditioning unit that is falling from a building on the property.  There is also a large hole/pit which was used for cooking during a BBQ.","The external grounds of the facility has been cleared of all significant debris such as, a low hanging electrical line, and an old air conditioning unit that is falling from a building on the property.  The  large hole/pit which was used for cooking during a BBQ has been filled."
04/20/2021,748.3301(c) - Physical Site,Physical Site,No,05/04/2021,05/05/2021,P:Physical Site,Medium High,Yes,A bedroom door has removed from the hinges and the door to the hotwater heater is off the tracks.,"The  bedroom door has placed on to the hinges, and the door to the hot water heater has been placed back on track."
04/19/2021,748.2151(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/25/2021,05/28/2021,Individual Standards Evaluated,Medium High,Yes,"Three of three medication logs did not include the prescribing physician's name, the instructions for administering medication, the reason for the medication, or the pill counts for the medication.","Inspection #3826688 conducted by RCCR staff at the operation on May 28, 2021.  Current medication logs were reviewed a completed according to the Minimum Standards.  "
04/16/2021,748.685(a)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/14/2021,06/15/2021,Individual Standards Evaluated,High,Yes,Three children at the operation were improperly supervised in accordance with the information that is described and documented in each child' s individual service plan.,The operation is no longer providing services for children and was closed on 6-4-21 through a RCCR notice of intent to impose adverse action towards the operation's request for a full permit. The intent to impose adverse action letter was hand delivered on 6-4-21 by the RCCR supervisor and assigned RCCR inspector. There are no children placed at the operation at this time. 
04/16/2021,748.393(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/14/2021,06/15/2021,Individual Standards Evaluated,Medium,Yes,"Three children's records had incomplete admissions assessments, preliminary service plans, and missing signatures as required per Minimum Standards.

One child's service plan and admission's assessment were missing documentation related to high risk behavior and supervision requirements as required in Minimum Standards. ",The operation is no longer providing services for children and was closed on 6-4-21 through a RCCR notice of intent to impose adverse action towards the operation's request for a full permit. The intent to impose adverse action letter was hand delivered on 6-4-21 by the RCCR supervisor and assigned RCCR inspector. There are no children placed at the operation at this time. 
04/16/2021,748.1101(b)(1)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/14/2021,06/15/2021,Individual Standards Evaluated,High,Yes,"A 13, 14, and 16 year old resident used illegal drug related substances in the external and internal areas of the operation while the staff were unaware of the children's activity. A child in care had specific supervision instructions related to high risk behaviors around other children. This lack of oversight posed a risk to this child and others in care. ",The operation is no longer providing services for children and was closed on 6-4-21 through a RCCR notice of intent to impose adverse action towards the operation's request for a full permit. The intent to impose adverse action letter was hand delivered on 6-4-21 by the RCCR supervisor and assigned RCCR inspector. There are no children placed at the operation at this time. 
04/16/2021,748.535(2)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/14/2021,06/15/2021,Individual Standards Evaluated,Medium High,Yes,The administrator failed to ensure that staff were aware of supervision requirements and supervision patterns for children at the operation that exhibited high-risk behavior. ,The operation is no longer providing services for children and was closed on 6-4-21 through a RCCR notice of intent to impose adverse action towards the operation's request for a full permit. The intent to impose adverse action letter was hand delivered on 6-4-21 by the RCCR supervisor and assigned RCCR inspector. There are no children placed at the operation at this time. 
04/16/2021,748.2151(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/14/2021,06/15/2021,Individual Standards Evaluated,Medium High,Yes,"One child's medication record was missing the documented dosage, medication count, medication administration time, and the operational staff member's signature for a prescribed psychotropic medication. ",The operation is no longer providing services for children and was closed on 6-4-21 through a RCCR notice of intent to impose adverse action towards the operation's request for a full permit. The intent to impose adverse action letter was hand delivered on 6-4-21 by the RCCR supervisor and assigned RCCR inspector. There are no children placed at the operation at this time. 
04/16/2021,748.2003(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/14/2021,06/15/2021,Individual Standards Evaluated,Medium High,Yes,A child at the operation missed two doses of his prescribed psychotropic medication on the date of 3-27-21 and 3-28-21. ,The operation is no longer providing services for children and was closed on 6-4-21 through a RCCR notice of intent to impose adverse action towards the operation's request for a full permit. The intent to impose adverse action letter was hand delivered on 6-4-21 by the RCCR supervisor and assigned RCCR inspector. There are no children placed at the operation at this time. 
04/15/2021,748.3391(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/28/2021,05/28/2021,Individual Standards Evaluated,Medium High,Yes,"During a walk through inspection of the operation, the following information was observed to be deficient, standing water due to a plumbing issue in the child's bath tub, dirty toilets in the child's bathroom, and a broken toilet paper bracket in the child's bathroom. ","A follow up inspection was conducted on 05/28/2021 with Administrator Mr. Cuba. Compliance was met, phots were taken to support the concerns noted. "
03/31/2021,748.1331(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/14/2021,05/12/2021,Individual Standards Evaluated,Medium Low,Yes,Two children's preliminary service plan's failed to address the supervision requirements for each child in care at the operation. ,Completed documents were Emailed to me be by Administrator Victor Sims compliance was met on 5/12/2021.
03/05/2021,"748.1215(b) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,03/19/2021,03/17/2021,"I:Admission, Service Planning, Discharge",Low,Yes, Children records had no Admission Assements.  ,I received an email from operational designee regarding the Admission Assessments for children's records. All Admission Assessments were complete and up to date for all children in care. The operational designee emailed admission assessment records to the RCCR inspector and this information was placed in the RCCR share point for further reference. 
12/16/2020,748.103(b)(8) - Organization and Administration,Organization and Administration,No,12/31/2020,12/17/2020,C:Organization and Administration,Medium Low,Yes,The operation's policies and procedures do not clearly outline the transitional living services that will be provided to its residents.,"On December 17, 2020, I, CCR Investigation and Compliance Specialist, Laura Robertson received a copy of the operation's transitional living policy via email from the CEO.  The policy is reviewed and compliant with the minimum standard."
12/16/2020,748.103(b)(11) - Organization and Administration,Organization and Administration,No,12/31/2020,12/17/2020,C:Organization and Administration,Medium,Yes,The operation's policies and procedures do not include policies for the protection against vaccine preventable diseases.  ,"On December 17, 2020, I, CCR Investigation and Compliance Specialist, Laura Robertson received a copy of the operation's vaccine preventable diseases policy via email from the CEO.  The policy is reviewed and compliant with the minimum standard."
