Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
01/12/2025,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/14/2025,03/12/2025,Individual Standards Evaluated,High,Yes,Children in care confirmed three staff have been observed sleep during overnight awake staff duties. ,"Corrective Action: The administrator created a corrective action plan that will ensure each shift will have adequate staff. The LCCA conducted a training session for all employees on the proper way of caregiving, the importance of not sleeping during shift and went over the minimum standards for 24-hour supervision. The LCCA has also initiated a weekly audit on all staff, this will ensure the 24-hour supervision is being met efficiently."
01/05/2025,748.303(a)(6)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/05/2025,03/05/2025,Individual Standards Evaluated,Medium,No,"The case was reported to statewide Intake but the staff did not place the Report number therein. Thus Law Enforcement called in the case and the Op made a subsequent Report anew, this time with a report number.","Upon telephone conversation, the Op informed Licensing that a re-orientation with all staff regarding proper reporting, including taking the Report Number, was done and strict compliance will be monitored by the LCCA and Case Manager."
11/25/2024,748.1101(b)(7) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/03/2025,01/27/2025,Individual Standards Evaluated,High,Yes,"A caregiver interfered with a child's call to the Ombudsman's office by not interrupting the call and preventing privacy. 
","Interviews were completed with three children in care and denied interference of a phone call has ever been an issue. Interviews were conducted with two staff, indicating they are aware they should not interfere with children' phone calls and discussion was held with staff about investigation concerns.

Correction letter and sign in sheet for refresher training was submitted via email."
10/22/2024,"748.1337(b)(1)(N) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,10/29/2024,10/30/2024,"I:Admission, Service Planning, Discharge",Low,No,During the inspection it was found that a child's service plan did not have signatures of service planning team members. ,The operation sent follow-ups via e-mail along with updated service plans.
10/22/2024,"748.1341(a) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,10/29/2024,10/29/2024,"I:Admission, Service Planning, Discharge",Low,No,During the inspection it was found that the child's parent was not given two weeks advance notice of a service plan meeting.,The operation sent follow-ups via e-mail along with updated service plans.
09/16/2024,748.2605(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/23/2024,10/23/2024,Individual Standards Evaluated,High,Yes,"Staff member stated to have placed child in a head lock and according to officer that arrested child, child had visible marks on neck at the time of their arrest. ",Agency retrained all staff on de-escalation techniques along with proper restraint techniques. Agency provided training certificates.
06/28/2024,748.3351(2) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,07/11/2024,,Individual Standards Evaluated,Medium Low,No,At one point in time the operation did not have personal storage space for children in care. During the inspection on 7/11/24 the operation was observed to have 3 drawer plastic bins in each room. ,
05/24/2024,748.685(c)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/26/2024,07/26/2024,Individual Standards Evaluated,Medium High,Yes,Children in care were able to smoke on the operations property while being left unsupervised. ,"The controlling persons immediately contracted with staff to reiterate to them of the client's 1:1 supervision. This standard will be monitored and enforced at all times in each shift.
Per minimum standards there should always be 1 staff to every 5 clients. However, we have ensured to have 3 caregivers on shift at all times."
12/06/2023,748.3101(2) - Safety and Emergency Practices,Safety and Emergency Practices,No,12/22/2023,12/18/2023,O:Safety and Emergency Practices,Medium High,Yes,During the inspection it was noted that the fire inspection had expired. The operation has had a new inspection however they do not have the results. ,"A new fire inspection dated 12/18/2023 was emailed on this day, where everything passed for this operation. See document library."
10/04/2023,748.151(3) - Organization and Administration,Organization and Administration,No,10/13/2023,10/06/2023,C:Organization and Administration,Medium,Yes,"During a review of the policies, it was determined that the policy manual identifies the CEO as a controlling person but does identify all board as a controlling person...","Administrator sent email stating that all members are now controlling person. A check was completed, and it appears as this has been corrected. "
10/04/2023,"748.1339(a)(2) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,10/13/2023,10/06/2023,"I:Admission, Service Planning, Discharge",Low,Yes,During a review of the service plan it does not identfy the normalcy decision maker in the team.,Administrator sent email with an updated service plan that meets all the minimum standard requirements including who is responsible for normalcy activities.
10/04/2023,748.101(2)(B) - Organization and Administration,Organization and Administration,No,10/13/2023,10/06/2023,C:Organization and Administration,Medium,Yes,"During a review of the policies that the operation submitted there was not and fiscal plan or documentation to reserve funds or available credit for to at least equal cost for three months. Furthermore, there was no estimated 12-month budget of income or expense. ",Administrator sent email with the budget form that shows estimated budget income for 12 months. 
10/04/2023,748.3273(7) - Safety and Emergency Practices,Safety and Emergency Practices,No,10/13/2023,10/06/2023,O:Safety and Emergency Practices,Medium,Yes,"During the inspection of the first aid kit there were a few items missing. There was not a thermometer, tweezers, or waterproof gloves. ",Administrator sent email with photographs that included all missing items from the first aid kit.
10/04/2023,748.363(11) - Reports and Record Keeping,Reports and Record Keeping,Yes,10/04/2023,,D:Reports and Record Keeping,Medium,Yes,Out of three personnel files reviewed all three files did not have a documentation of a driver's records check that is required. This was corrected at inspection as all driver's records were ran. ,
10/04/2023,"748.1337(b) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,10/13/2023,10/06/2023,"I:Admission, Service Planning, Discharge",Medium Low,Yes,"During a review of the child's service plan, it was found that the plan did not include the following: cultural identity needs and plans, instructions to the caregiver about the child's trauma history or triggers, nor does it include methods of responding that increase trust, help them feel safe, and adapt to their environment. The service plan also does not include a mock safety plan or caregiver inclusion. Finally, the plan does not have all treatment services provided. ",Administrator sent email with an updated service plan that meets all the minimum standards.
