Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
04/09/2025,748.1101(b)(4)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/12/2025,05/07/2025,Individual Standards Evaluated,Medium High,Yes,"A caregiver used pore judgement when disciplining a young child, by hitting the child with a sock on the child's lower extremity. ","corrections were set via email, the agency will be retraining staff and reviewing standards and policies with them on a quarterly basis to ensure that they are in compliance. The inspector had informed me that he would be citing the agency prior to closure. When I visited the facility I spoke to them about the staff in question because I got an investigation after that involved the same staff. It was mitigated. The staff is not counted in ratio and the staff will not interact with the children. I also spoke to the staff and she also understood. She will only be doing administrative duties. "
03/17/2025,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/22/2025,04/25/2025,Individual Standards Evaluated,Medium,Yes,"No one witnessed the incident that was reported, but witnesses were named on the incident report.",The administrator sent corrections via email informing me that she had spoken to staff about incident reports. I completed a physical follow up 4/25/2025 and spoke with staff. They were able to tell verbalize that the administrator had the discussion with them and informed them of making sure that incident reports need to be proofed to make sure all information is true and accurate. 
12/03/2024,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/27/2024,01/03/2025,Individual Standards Evaluated,Medium High,Yes,A caregiver did not exercise prudent judgement when they physically grabbed and turned a child's face towards a laptop used for virtual visits. ,"They operation had a meeting in discussing that the employees need to use prudent judgment, and they will not force the children to face the camera if they don't want to. A physical follow up was completed 1/23/2025. It was discussed that they will be reducing the time of the visits and increasing the number of days. So that children can sit easier for these visits instead of long periods of time. It was also discussed with the operation that we need to show patience with the kids when they are having these visits with parents. I informed them that if the kid is not paying attention to the camera then so be it. The parent and CPS worker will see that. It is not something we can control. Delma agreed. "
04/09/2024,748.753(d)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/16/2024,04/15/2024,Individual Standards Evaluated,Medium Low,Yes,Fourt employee files were reviewed. Two of the employee files were found to be missing the date and contact method for references checks and employment verification. In One employee file referenec checks were not conpleted. ,"On 4-15-24, the administrator provided copies of the corrected reference checks. The administrator stated she would be responsible for ensuring both employer and reference checks would be completed. "
12/07/2023,748.2151(c)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/12/2023,12/18/2023,Individual Standards Evaluated,Medium High,Yes,"One of six medicaiton logs revewed was found to be missing the year, time and signature of the person who administered the medicaiton. ","One of six medicaiton logs revewed was found to be missing the year, time and signature of the person who administered the medicaiton. "
11/22/2023,748.2151(c)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/22/2023,12/07/2023,Individual Standards Evaluated,Medium High,Yes,A medication log indicated the medication for this evening had already been adminsitrered at 7pm and the time was only 2:37pm.,
10/11/2023,748.1341(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/18/2023,10/16/2023,Individual Standards Evaluated,Low,Yes,Three  child records were reviewed during a monitoring inspection. The records do not have documentation of parent notification for the child's plan of service meeting. ,"On 10-14-23, the administrator provided a response to the citation. The administrator indicated she will be responsible for providing oversight, to ensure notice to parents is send two weeks prior to the service plan meeting. "
04/25/2023,748.505(b)(4) - Personnel,Personnel,No,04/28/2023,04/26/2023,E:Personnel,Medium,Yes,One of six employee files did not have record of an affidavit for employment. ,"On 4-26-23 the administrator sent an email, with a notarized copy of the missing affidavit for employment. "
01/16/2023,748.1337(b)(1)(N) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/24/2023,04/25/2023,Individual Standards Evaluated,Low,Yes,"In the course of an investigation, a child's service plan was requested. The service plan does not have signatures, denoting who participated in the plan meeting. ","On 4-25-23, I (Ruben Garcia) met with the administrator. The administrator informed me that corrections have been made. She also ensured that signatures for all service plan participants will be obtained, moving forward. "
08/04/2022,748.3101(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/12/2022,08/09/2022,Individual Standards Evaluated,Medium High,Yes,"The facilities Fire Inspection has lapsed, the last fire inspection was conducted on 6/7/2021. ",On 8/9/22 the Administrator forwarded a copy of their Fire Inspection which was done on 8/9/22. Also sent was the Gas Inspection which was done on 8/8/22. 
05/04/2022,748.931(a)(1) - Training and Professional Development,Training and Professional Development,No,05/18/2022,05/16/2022,F:Training and Professional Development,Medium,Yes,Four of six employee records reviewed were found to have delinquent trainings for Normalcy. ,The administrator forwarded copies of certificates for staff missing their annual normalcy training. 
05/04/2022,748.363(6) - Reports and Record Keeping,Reports and Record Keeping,Yes,05/04/2022,,D:Reports and Record Keeping,Medium,No,One of six employee filed reviewed was found be missing the affidavit for employment. ,
05/04/2022,748.1583(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/18/2022,05/16/2022,Individual Standards Evaluated,Medium Low,Yes,Two of six employee files were found to be missing proof of TB tests. ,The Administrator provided copies of TB tested for the staff. 
05/04/2022,748.4213(d) - Emergency Care,Emergency Care,No,05/18/2022,05/25/2022,S:Emergency Care,Low,No,"Two of four child records reviewed did not have a  of weekly reviews with signatures,  for the Emergency Care Discharge plans. ",On 5/25/22 the administrator provided an action plan to address the citation. The administrator will ensure the weekly reviews are completed and signed by the responsible personnel. 
01/28/2022,748.681(2) - Personnel,Personnel,No,02/23/2022,02/23/2022,E:Personnel,Medium,No,During a monitoring inspection it was found the two the the four personnel files were missing proof of education. ,"The Director provided a memo advising that the employee has been reassigned to a non-caregiver  role. The employee will remain in said position, until the employee can provide proof of education.  "
05/28/2021,748.3101(2) - Safety and Emergency Practices,Safety and Emergency Practices,No,06/11/2021,06/07/2021,O:Safety and Emergency Practices,Medium High,Yes,The annual fire inspection was expired.  Last date was 2/17/20.  ,Administrator provided a copy of the approved Fire Inspection dated 6/7/21.  
05/28/2021,748.4657(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/11/2021,06/21/2021,Individual Standards Evaluated,Medium,Yes,Eight caregivers that transport children did not have current transportation training.,"Delma Trejo, provided copies of certifications for the 8 staff who were missing transportation training. "
