Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
05/27/2025,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/25/2025,06/25/2025,Individual Standards Evaluated,Medium High,Yes,"4 out of 5 children in care reported a staff driving recklessly during an outing and 5 out of 5 children in care reporter this same staff member being verbally aggressive with another staff member.    


",RCCR received documents that showed the operation had a meeting with all staff members involved in the investigation and were re-trained for driving safe.    
04/15/2025,748.911(a) - Training and Professional Development,Training and Professional Development,No,04/22/2025,04/28/2025,F:Training and Professional Development,High,Yes,The CPR/First Aid training expired on 3/21/25 for two caregivers.,"An email was received from the Administrator on 04/17/25. The new checklist to indicate when training will be expired was received. The training is scheduled for April 29th for renewal of the CPR and first aid. The second training for the staff that was unable to make the 29th is on May 9, 2025. The staff will not be counting in the ratio until the training is current.   "
04/15/2025,"748.1331(a) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,04/22/2025,04/17/2025,"I:Admission, Service Planning, Discharge",Medium Low,No,After reviewing the preliminary service plans there were no documentation of the child's supervision requirements.,An email was received from the Administrator on 04/17/25 indicating that the Preliminary Service Plan template has been updated to ensure the supervision is documented clearly.  A copy of the template was provided.  
08/26/2024,748.3893(10) - Recreation Activities,Recreation Activities,No,09/02/2024,08/29/2024,Q:Recreation Activities,Medium,Yes,The trampoline had part of the padding that was tore and the safety netting was detached from the top of the poles.  ,"The Administrator sent pictures of the trampoline that was repaired.  He also indicated that an audit check list has been created to ensure that the trampoline and any equipment outside will be checked regularly.  This will be conducted weekly, and staff will have to date and sign the form after the inspection has been completed.  The form will be available for review. The Administrator moved the trampoline out from underneath a tree for safety. The pictures were uploaded in CLASS Library.  "
08/26/2024,748.125(c)(1) - Organization and Administration,Organization and Administration,No,09/02/2024,08/29/2024,C:Organization and Administration,High,Yes,2 staff files that were reviewed did not have current suicide training.  ,The Administrator sent a copy of the sign in sheets for the suicide training. The certificates were also attached and upload into CLASS Library. The operation has checklist on each staff file that will also be audited monthly.  
05/30/2024,748.1337(b)(1)(D)(ii) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/13/2024,06/20/2024,Individual Standards Evaluated,Medium High,Yes,2 initial and 1 preliminary service plan did not provide a method or protocol for how supervision must be carried out.,The Administrator indicated that he has retrained the Case Manager on ensuring all areas of the service plans are details and have protocol for the supervision plan of each child. They did implement a secondary verification check on all service plans before they are filed in the children's file or sent out to the case workers.
05/15/2024,748.151(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/18/2024,06/20/2024,Individual Standards Evaluated,Medium,Yes,Agency policy requires staff not sleep during their shifts; one staff member was found sleeping on their shift. ,The staff and children were interviewed regarding staff sleeping during the shifts.  The staff involved understood that this was incorrect.  There were staff meetings that was held on 06/03/24 and 06/10/24 to discuss the minimum standards and the deficiencies that were cited. 
05/15/2024,748.1003(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/18/2024,06/20/2024,Individual Standards Evaluated,Medium High,Yes,There was one staff with 10 children in care. ,Interviews with the staff and children indicated that there are always 2 staff always present inside and outside of the building.  The staff had a staff meeting on 06/10/24.  At the inspection there were 2 children with 2 staff. 
05/09/2024,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/17/2024,06/20/2024,Individual Standards Evaluated,High,Yes,Children in care and an SIR support that children were engaged in an altercation on the playground. This happened without a direct care staff being present. ,"RCCR inspected the operation on 06/20/2024 due to supervision concerns. The operation was proactive regarding the supervision concern and put in a plan. The staff and children were interviewed regarding supervision while the children are outside.  The children, staff and observation confirmed that there are always staff outside interacting with the children, while they are playing. There was a staff meeting that was held on 06/10/24 to reinforce the requirement. "
05/09/2024,748.4207(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/17/2024,07/18/2024,Individual Standards Evaluated,Low,Yes,3 children in care placement extension expired on 06/17/2024.,"An email was received indicating that the Administrator will closely review the variance approval letters to ensure the expiration does not expire. In addition, he stated that he will print out all extensions to make sure they are not missed. The sibling group had two different variances. 
"
04/26/2024,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/12/2024,06/20/2024,Individual Standards Evaluated,High,Yes,The children were not being supervised while outside on the playground and got into a fight. ,"The staff and children were interviewed regarding supervision while the children are outside.  The children, staff and observation confirmed that there are always staff outside interacting with the children, while they are playing.   There was a staff meeting that was held on 06/10/24 to discuss the minimum standards and the deficiencies that were cited."
04/26/2024,748.2307(8) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/12/2024,06/20/2024,Individual Standards Evaluated,Medium High,Yes,Staff were humiliating children in care by using derogatory statements about the children and calling children names.  ,The staff and children were interviewed regarding using derogatory words or statements. There were staff meetings that was held on 06/03/24 and 06/10/24 to discuss the minimum standards and the deficiencies that were cited. 
04/26/2024,748.2463(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/12/2024,06/20/2024,Individual Standards Evaluated,Medium High,Yes,Children in care confirmed that a caregiver pulled a child by the arm and escorted to the child's bedroom. ,The staff and children were interviewed regarding using appropriate measures to make a child comply.  The staff involved understood that this was incorrect.  There were staff meetings that was held on 06/03/24 and 06/10/24 to discuss the minimum standards and the deficiencies that were cited. 
02/13/2024,748.753(c)(2) - Personnel,Personnel,No,02/27/2024,02/22/2024,E:Personnel,Medium Low,Yes,Two files that were reviewed did not have the documentation that references were contacted.  ,An email was received from the Administrator indicating that they will ensure that they document the references that were contacted and what the responses were and not just the name. 
02/13/2024,748.930(b)(1)(A) - Training and Professional ,Training and Professional Development,No,02/27/2024,02/21/2024,F:Training and Professional Development,Medium High,Yes,"Two files that were reviewed one caregiver had expired EBI and the other caregiver did not have enough EBI hours.  

One file had expired trauma training 748.930 (b)(2). 

One file did not have transportation training documented for a driver.748.930(a)(3).   ","An email was received from the Administrator regarding EBI training. It was indicated that he has all staff on the same training date, however this was overlooked. There will be a training for all staff on 02/22/24 and 02/23/24 for EBI.  A copy of the sign in sheet will be sent after the training.  The trauma training certificates were sent for the staff that were expired.  The Administrator sent an email stating that all current and new employees are required to complete transportation training.  "
