Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
10/28/2024,748.2953(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/30/2024,10/30/2024,Individual Standards Evaluated,Medium,Yes,Operation did not submit EBI information for quarter 3.,The operation submitted EBI data for the third quarter. The operation set automatic calendar reminders to go off two days before the due dates to ensure the data is submitted timely. The operation emailed screen shots of the calendar to verify.
06/06/2024,748.915(b)(4) - Training and Professional Development,Training and Professional Development,No,06/13/2024,06/13/2024,F:Training and Professional Development,Medium Low,Yes,Two of three staff CPR certificates reviewed did not include the trainer's qualifications. The certificates also did not include the length of the training.,The operation provided documentation to show the missing information on the training certificates. 
06/06/2024,748.505(b)(2) - Personnel,Personnel,No,06/13/2024,06/13/2024,E:Personnel,High,Yes,"Three staff files were reviewed, and one staff file did not include TB test results. ",The staff completed a new TB test that includes the results. These documents were reviewed by RCCR Inspector. 
05/02/2024,748.753(d)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/09/2024,05/03/2024,Individual Standards Evaluated,Medium Low,Yes,One staff's file contained reference checks that did not include all required information about the reference.,"Agency Administrator emailed RCCR Inspector a copy of the staff's pre-employment reference check with the needed corrections on May 3, 2024."
05/02/2024,748.3117(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/06/2024,05/06/2024,Individual Standards Evaluated,Medium,Yes,During the inspection three fire extinguishers were observed to have expired in April 2024.,"Agency sent pictures of the new fire extinguisher tags by email on May 6, 2024. RCCR Inspector reviewed fire extinguisher tags in the email to show they were in compliance. Further during the inspection on June 6, 2024, the fire extinguisher tags were observed to be in compliance. "
04/02/2024,748.2101(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/09/2024,05/02/2024,Individual Standards Evaluated,High,Yes,The medication cabinet was unlocked during the inspection. Non-prescription ointments were stored in an unlocked cabinet that was accessible to children.,An unannounced follow-up inspection was conducted and the medication cabinet was locked. The ointments were observed to be locked in the Wellness Closet. 
12/06/2023,748.151(3) - Organization and Administration,Organization and Administration,No,12/15/2023,12/18/2023,C:Organization and Administration,Medium,Yes,The operations did not have all documentation completed documentation was contractidcing on dates and information. ,The operation has implemented internal audit process to ensure operation records are true and accurate.
12/06/2023,"748.1331(a) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,12/15/2023,12/18/2023,"I:Admission, Service Planning, Discharge",Medium Low,Yes,Three of the three child files that were reviewed did not document the date the preliminary service plan was completed.,The operation has updated their documentation and policies as per minimum standard. 
12/06/2023,748.2051(1) - Medication,Medication,No,12/08/2023,12/18/2023,L:Medication,Medium,Yes,A child in care was self administering an inhaler and there was no documentation. ,The operation has updated their policy to allow children with medication to be admitted and the operation will follow all standards regarding self-administrating medication. 
12/06/2023,"748.1205(a)(7) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,12/15/2023,12/18/2023,"I:Admission, Service Planning, Discharge",Medium High,Yes,Child admission assessment did not have immunization record and other important information. ,The operation has updated their documentation as per minimum standard. 
