Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
11/06/2023,748.4041 - Transportation,Transportation,No,11/20/2023,11/20/2023,R:Transportation,High,Yes,The operations vehicle it uses to transport children in care inspection was expired.,The operation sent a picture of the up to date vehicle inspection sticker located on the operations vehicle. The operation also sent the following statement: Positive Steps will ensure that the vehicle inspection will be inspected within the annual timeframe.  The operation has not had children in care since April 2023 therefore children in care were not transported in the vehicle with the expired registration.
04/15/2023,748.1009(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/26/2024,01/26/2024,Individual Standards Evaluated,High,Yes,The operation did not accompany a child to the hospital or send a staff member to the hospital to accompany a child.,"Children have not been placed at the operation since 04/2023.
Positive Steps will maintain compliance with the child-staff ratio to adequately supervise children, ensure childrens safety and meet the childrens needs. "
04/14/2023,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/25/2023,02/05/2024,Individual Standards Evaluated,Medium,Yes,Facility could not provide documentation in a timely matter when requested. ,"The operation sent a corrective action plan stating the following: Positive Steps will maintain current, true, accurate, and complete records.  Also, Positive Steps will ensure that all requested documentation will be available for review or submitted in a timely manner. "
08/20/2021,748.2151(d) - Medication,Medication,No,08/20/2021,08/20/2021,L:Medication,Medium High,Yes,A child's medication was missing one pill without explanation.,"I spoke with administrator Yvonne Hawkins who stated the pill that was missing from the child's medication packet had fallen on the floor and was disposed of in the trash. Ms. Hawkins stated if an incident like this occurs again, she will have staff members take a picture of the pill and document the incident. She also stated a replacement pill was called in by the pharmacy and the child will not miss a day without the prescribed medication. "
08/20/2021,748.2151(b)(1) - Medication,Medication,No,08/20/2021,08/20/2021,L:Medication,Medium High,Yes,One child's medication log did not have documentation for the medication being administered within the appropriate time frame.,Administrator Yvonne Hawkins stated she will make sure staff are aware that they must document a medication was administered within the appropriate time frame of two hours. 
07/16/2021,748.3365(b)(2) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,07/16/2021,,Individual Standards Evaluated,Medium,Yes,One of the beds being occupied by a child in care did have a waterproof mattress cover  ,
07/03/2021,748.399(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/07/2021,09/07/2021,Individual Standards Evaluated,Medium,Yes,Inspector did not receive requested documents in a timely manner. Request were sent July 16 but did not receive the documents till August 14th. ,
02/01/2021,"748.1209(c)(2) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,02/08/2021,02/08/2021,"I:Admission, Service Planning, Discharge",Medium High,No,The childs orientation checklist did not include informing the child on how to contact parties related to the childs case.,"Positive Steps will ensure that the Childs Orientation Checklist will include information on how to contact parties related to the childs case (i.e. caseworker, attorney/guardian ad litem, CASA). Compliance of this standard will be effective immediately. "
02/01/2021,748.151(3) - Organization and Administration,Organization and Administration,No,02/08/2021,02/08/2021,C:Organization and Administration,Medium,No,"The medical consent form did not have the childs name or other information listed. 

Another medical consent form in a childs file did not list the operations name and listed a name for the childs previous placement. ","Positive Steps will ensure that Medical Consent Forms are completed with current, true and accurate documentation. Compliance of this standard will be effective immediately."
02/01/2021,745.651(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/08/2021,02/08/2021,Individual Standards Evaluated,Medium,No,Multiple staff were found to not be inactivated in the system. ,Positive Steps will ensure that anyone that is no longer associated with Positive Steps will be inactivated within 7 days upon departure. Compliance of this standard will be effective immediately. 
