Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
05/20/2025,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/03/2025,05/30/2025,Individual Standards Evaluated,Medium,Yes,One of two child records reviewed presented contradicting information that was not verified by the operation which thus failed to follow-up on the child's overall history. ,"Administrator Pamela Rodriguez emailed an updated assessment form to gain additional information pertaining to a gathering better, more accurate, history for a child being placed at the operation.  "
06/06/2024,748.363(9) - Reports and Record Keeping,Reports and Record Keeping,No,06/10/2024,06/10/2024,D:Reports and Record Keeping,Medium,Yes,"There out of three staff records were reviewed, and all three were missisg part of othe inforamtion for recording.","The operation had updated the statement signed and dated by the employee indicating the employee must immediately report any suspected incident of child abuse, neglect, or exploitation to the Texas Abuse and Neglect Hotline to include the operations administrator or administrators designee. "
04/02/2024,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/06/2024,05/10/2024,Individual Standards Evaluated,High,Yes,A staff member was found to be sleeping during their shift.,A staff member was found to be sleeping during their shift.
04/10/2023,748.1103(a) - Children's Rights,Children's Rights,Yes,04/10/2023,,H:Children's Rights,Medium,Yes,"It was noted that in 1 record reviewed, a copy of a signed and dated child s rights was not in the case file.  ",
07/05/2022,"748.1331(a) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,08/03/2022,08/11/2022,"I:Admission, Service Planning, Discharge",Medium Low,Yes,There was not a Preliminary Service plan in the child file. ,This standard was found to be in compliance at the inspection on 8/11/2022.
07/05/2022,"748.1205(a)(10) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,08/03/2022,08/11/2022,"I:Admission, Service Planning, Discharge",Medium High,Yes,"In the admission assessment, contraindications of the use of a restraint was not documented. ",This standard was found to be in compliance at the inspection on 8/11/2022.
07/05/2022,748.3101(1) - Safety and Emergency Practices,Safety and Emergency Practices,No,08/03/2022,08/11/2022,O:Safety and Emergency Practices,Medium High,Yes,The operation did not have a current fire inspection completed.,This standard was found to be in compliance at the inspection on 8/11/2022.
07/05/2022,748.3301(f) - Physical Site,Physical Site,No,08/03/2022,08/11/2022,P:Physical Site,Medium High,Yes,It was noted the outdoor areas of the operation was currently in repair. The walkway of the operation was not completed. ,This standard was found to be in compliance at the inspection on 8/11/2022.
07/05/2022,748.103(a) - Organization and Administration,Organization and Administration,No,08/03/2022,08/11/2022,C:Organization and Administration,Medium,Yes,"Multiple required policies were not submitted or did not meet the requirements of this standard, including 748.101(2)(A)-(D),  748.105(7), 748.111(7), (8), (10), (11), (13), (14), (18), 748.113(1)-(9), 748.115(1)-(5) and 748.119(1)-(5).",This standard was found to be in compliance at the inspection on 8/11/2022.
07/05/2022,748.3001(a) - Safety and Emergency Practices,Safety and Emergency Practices,No,08/03/2022,08/11/2022,O:Safety and Emergency Practices,Medium High,Yes,The operation did not have a current Health Inspection completed.,This standard was found to be in compliance at the inspection on 8/11/2022.
