Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
09/28/2023,748.4205 - Individual Standards Evaluated,Individual Standards Evaluated,No,10/05/2023,10/04/2023,Individual Standards Evaluated,Low,Yes,Five children receiving emergency care services have been in care longer than the maximum 15 days allowed. The operation has not submitted placement extensions.   ,The operation submitted variance requests for the placement extensions. Submission reviewed and approved in CLASS. Approval letters sent to the operation for placing in child records. 
07/31/2023,745.651(2)(A) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,07/31/2023,,Individual Standards Evaluated,Medium,Yes,The requirement of validating the people list hasn't been met.,
07/31/2023,745.651(1) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,07/31/2023,,Individual Standards Evaluated,Medium,No,An employee no longer associated with the operation background check hasn't been inactivated after the seven day requirement.,
01/30/2023,748.3301(i) - Physical Site,Physical Site,No,02/24/2023,02/24/2023,P:Physical Site,Medium High,Yes,"During inspection of the children's bedrooms, the beds were observed to have splinters and exposed pieces of wood (newly built beds and ladders) that could cause injuries. Slats of some of the beds were found to not have been properly secured to the bed frame. One slat was observed on the floor under the bed. ","During inspection of the children's bedrooms, the beds were observed to have splinters and exposed pieces of wood (newly built beds and ladders) that could cause injuries. Slats of some of the beds were found to not have been properly secured to the bed frame. One slat was observed on the floor under the bed. "
01/30/2023,748.3397(d)(2) - Physical Site,Physical Site,No,02/24/2023,02/24/2023,P:Physical Site,Medium Low,Yes,"During the inspection of bathrooms and kitchen, it was observed that none of the hot water faucets produced sufficient hot water. After a further inspection of the hot water heater, it was determined that the pilot light was out and cannot be readily reset. ","During the inspection of bathrooms and kitchen, it was observed that none of the hot water faucets produced sufficient hot water. After a further inspection of the hot water heater, it was determined that the pilot light was out and cannot be readily reset. "
10/27/2022,748.537(a) - Personnel,Personnel,No,11/11/2022,11/15/2022,E:Personnel,Medium High,Yes,"The operation's professional staffing plan does address plans for handling emergencies. 
The professional staffing does not address a designated person must be on call and accessible to caregivers and that all caregivers (and CCR) are informed of emergency system and how to contact the person on call.",The operation submitted an updated professional staffing and a disaster/emergency plan. 
10/27/2022,748.103(b)(7) - Organization and Administration,Organization and Administration,No,11/11/2022,11/10/2022,C:Organization and Administration,Medium,No,"The operation's discipline policy does not address:
-who may discipline a child
-explanation to staff what is considered ""unproductive work""
-restriction of child's activities as a behavior management tool consistent with 748.2309
","The operation's discipline policy does not address:
-who may discipline a child
-explanation to staff what is considered ""unproductive work""
-restriction of child's activities as a behavior management tool consistent with 748.2309
"
10/27/2022,748.103(b)(1) - Organization and Administration,Organization and Administration,No,11/14/2022,11/17/2022,C:Organization and Administration,Medium,Yes,"The operation's policy on reporting serious incidents is missing significant policies and procedures for reporting serious incidents and other occurrences.

The policy is missing notification requirements as applicable in 748.317 and 748.319. The operation must use form 7266 ""Notification of Abuse/Neglect/Exploitation Deficiency"" to notify parents of the deficiency. These changes to the minimum standards were in effect April 2021.

The policies must be consistent with Subchapter D, Div 1- Reporting Serious Incidents and Other Occurrences. Serious incident reporting requirements were updated in minimum standards effective April 2022. ","The operation's policy on reporting serious incidents is missing significant policies and procedures for reporting serious incidents and other occurrences.

The policy is missing notification requirements as applicable in 748.317 and 748.319. The operation must use form 7266 ""Notification of Abuse/Neglect/Exploitation Deficiency"" to notify parents of the deficiency. These changes to the minimum standards were in effect April 2021.

The policies must be consistent with Subchapter D, Div 1- Reporting Serious Incidents and Other Occurrences. Serious incident reporting requirements were updated in minimum standards effective April 2022. "
10/27/2022,748.2003(a) - Medication,Medication,No,11/11/2022,11/15/2022,L:Medication,High,Yes,The operation's medication administration policy does not fully address the requirements in informing the person legally authorized to give medical consent.,The operation submitted revised medication administration policy that meets compliance. 
10/27/2022,748.103(b)(5) - Organization and Administration,Organization and Administration,No,11/11/2022,12/05/2022,C:Organization and Administration,Medium,Yes,"The operation's child care policies do not address a childs right to correspond by phone and mail with family members and friends, how a child obtains clothing, does not address how teenagers are provided reasonable opportunities to select clothing, nor policies regarding mail restrictions and receipt of electronic messages and mail.

The operation's child care policies do not address care for pregnant teens that is consistent with 748.111(15). **The operation's admission policy does not indicate that this population of youth are accepted or excluded from admission.      

The child care policies do not address nutrition and hydration for children in care that is consistent with 748.1691, 748.1693, 748.1697, 748.1699, 748.1701, and 748.1703. ","The operation's child care policies do not address a childs right to correspond by phone and mail with family members and friends, how a child obtains clothing, does not address how teenagers are provided reasonable opportunities to select clothing, nor policies regarding mail restrictions and receipt of electronic messages and mail.

The operation's child care policies do not address care for pregnant teens that is consistent with 748.111(15). **The operation's admission policy does not indicate that this population of youth are accepted or excluded from admission.      

The child care policies do not address nutrition and hydration for children in care that is consistent with 748.1691, 748.1693, 748.1697, 748.1699, 748.1701, and 748.1703. "
10/27/2022,748.311 - Reports and Record Keeping,Reports and Record Keeping,No,11/11/2022,11/10/2022,D:Reports and Record Keeping,Medium,No,The serious incident form does not include requirements for documentation that is consistent with 748.313(3)(B thru E) and 748.313(4). ,An email was sent to rccr staff on 11/10/2022 with the incident report template that reflected the required changes.
10/27/2022,748.105(4) - Organization and Administration,Organization and Administration,No,11/14/2022,11/14/2022,C:Organization and Administration,Medium,No,"The operation's staff training policy was reviewed. 
The policy does not include the following for general pre-service training: 
-location and use of fire extinguishers and first aid equipment 
-curriculum components for pre-service training in normalcy
-curriculum components for pre-service training in administering psychotropic medication
-requirement that training on administering psychotropic medication must be instructor led training and the instructor must be a health care professional or a pharmacist

The policy does not include the following for annual training:
-curriculum components for normalcy
-curriculum components for administering psychotropic medication
-psychotropic medication instructor led training requirement

","The operation's staff training policy was reviewed. 
The policy does not include the following for general pre-service training: 
-location and use of fire extinguishers and first aid equipment 
-curriculum components for pre-service training in normalcy
-curriculum components for pre-service training in administering psychotropic medication
-requirement that training on administering psychotropic medication must be instructor led training and the instructor must be a health care professional or a pharmacist

The policy does not include the following for annual training:
-curriculum components for normalcy
-curriculum components for administering psychotropic medication
-psychotropic medication instructor led training requirement

"
10/27/2022,748.3231(b)(2) - Safety and Emergency Practices,Safety and Emergency Practices,No,11/11/2022,11/15/2022,O:Safety and Emergency Practices,Medium,Yes,"The operation's disaster and emergency plan does not designate an employee responsible for securing childrens emergency numbers, emergency medical authorizations, and medications during the emergency.",The operation submitted an updated disaster and emergency plan that meets compliance. 
10/27/2022,748.111(9) - Organization and Administration,Organization and Administration,No,11/11/2022,11/10/2022,C:Organization and Administration,Medium Low,Yes,"The operation's education policy does not address requirements in 748.1303.
",An email was sent to rccr staff from the operation staff on 11/10/2022 with the updated education policies that reflected the required missing information.
10/27/2022,748.4009(a) - Transportation,Transportation,No,11/11/2022,11/15/2022,R:Transportation,Medium High,Yes,The operation's policy and procedures does not include plans for handling transportation emergencies that is consistent with 748.4009 (a) thru (c). ,Operation's revised transportation policy was reviewed and meets compliance. 
10/27/2022,748.3369(d) - Physical Site,Physical Site,No,11/11/2022,11/17/2022,P:Physical Site,Medium High,Yes,The bunk beds for children do not include securely attached ladders as required. ,The bunk beds for children do not include securely attached ladders as required. 
10/27/2022,748.2151(b)(1) - Medication,Medication,No,11/11/2022,11/15/2022,L:Medication,Medium High,Yes,The medication administration and documentation policy does not provide clear instructions to staff regarding the required timeframe for recording medication administration. ,The operation submitted revised medication administration and documentation policy. Policy reviewed meets compliance. 
