Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
07/08/2025,748.455(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/09/2025,09/16/2025,Individual Standards Evaluated,Medium,Yes,"The provided Debrief document did not contain multiple required components, including any information pertaining to where the child went, who they were with, or any other information relevant to the childs health and safety. Neither was it noted those questions were asked of the child.","The compliance plan is to ensure all unauthorized absences are fully documented, reviewed, and submitted in accordance with standard requirements. The operation will monitor unauthorized absence reports by completing all spaces on the form, review the incident with staff members, manager, and administrator. Conduct monthly audits, train staff on form completion, and administrator will oversee the compliance of forms. 

The operation provided a copy of an Unauthorized Absence Debriefing dated 7/23/2025. The report contained all the reporting elements required for this standard. Administrator Dr. Sneed states that it is their procedure to complete an unauthorized absence debriefing. July 12, 2025, the team reviewed AWOL procedures, including recognizing behavioral indicators that a child may be preparing to leave and reinforcing the importance of consistent supervision and engagement every 15 minutes. The training will be ongoing. The compliance plan will be implemented by Dr. Sneed, the administrator. The plan to avoid future violations is to train her staff to complete documentation and she will sign off on incident reports as a review of facts and completion of documents. The compliance plan will be implemented by Dr. Sneed, the administrator. The plan to avoid future violations is to train her staff to complete documentation and she will sign off on reports as a review of facts and completion of documents. "
07/08/2025,748.311(11) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/10/2025,09/16/2025,Individual Standards Evaluated,Medium,Yes,"The operation's Serious Incident Report is missing required information, including the documenting of the child's return.","The compliance plan is to ensure all SIRs are fully documented, reviewed, and submitted in accordance with standard requirements. The operation will monitor SIRs by completing all spaces on the form, review SIRs by staff members, manager, and administrator. Conduct monthly audits, train staff on form completion, and administrator will oversee the compliance of forms. 

An unauthorized Absence Debriefing was conducted on 7/23/2025. This document meets the requirement for an update regarding the unauthorized absence and the childs return in standard 748.311(11). 

In regard to the SIR, Administrator Dr. Sneed on 9/16/2018, provided an addendum to update the incident report that explained the resolution of the incident included a debriefing with the child, addressing the child's coping skills, and hospitalization. It was explained to the Administrator that she may go back to already completed incident reports and add addendums to SIR to meet the cited requirement. The SIR contained all the elements of the standard 748.311. Dr. Sneed states that she will ensure that she signs all incident reports making sure they are properly completed by staff. The form lacked Dr. Sneed's signature and admission date. She will continue to provide training to staff to remind them of the importance of completing forms. On July 12, 2025, follow-up meeting was conducted with staff to continue discussions on preventing and addressing escape attempts. The team reviewed AWOL procedures, including recognizing behavioral indicators that a child may be preparing to leave and reinforcing the importance of consistent supervision and engagement every 15 minutes."
06/10/2025,748.535(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/17/2025,06/25/2025,Individual Standards Evaluated,Medium,Yes,It was determined during the follow-up process the administrator is not providing daily supervision. Administrator was not present for inspection and operation was unable to provide evidence of the administrator providing on-site supervision.,The operation hired new staff and ensured the staff member would be available for 30 hours weekly. There are two staff pending to also test for the LCCA license as backup. 
04/09/2025,748.1531(a)(2) - Child Care,Child Care,No,04/16/2025,04/28/2025,J:Child Care,High,Yes,Photos and documentation show child in care had a rash but there is no documentation if or when child was taken to the doctor for medical attention,"Administrator is making sure two staff members are the once conducting body checks when child in care first arrives and contacting child's case worker. If any illness, injury or pain the staff are directed to immediately take child to the doctors within 48 hours. "
04/09/2025,748.1501(a)(1) - Child Care,Child Care,No,04/16/2025,04/28/2025,J:Child Care,Medium,Yes,One child in care's file that was placed on 01/08/2025 did not have a copy of her dental record. ,Administrator has created an outlook calendar remainder to ensure they are to date with all medical requirements. Administrator also does weekly audits to ensure all required documentation is available upon request.
04/09/2025,748.505(b)(4) - Personnel,Personnel,No,04/16/2025,04/28/2025,E:Personnel,Medium,Yes,Two staff files were missing notarized documentation. ,Administrator has created a checklist and will be dated the date the items are inputted in the staff files. Administrator will conduct a monthly audit to ensure documentations are available upon request. 
04/09/2025,748.1531(a)(1) - Child Care,Child Care,No,04/16/2025,04/28/2025,J:Child Care,Medium High,Yes,One child in care's file that was placed on 01/08/2025 did not have a copy of medical documentation.,Administrator has created a outlook calendar remainder to ensure they are to date with all medical requirements. Administrator also does weekly audits to ensure all required documentation is available upon request.  
04/09/2025,748.1545(a) - Child Care,Child Care,No,04/16/2025,04/28/2025,J:Child Care,Medium High,Yes,One child in care's file that was placed on 01/08/2025 did not documentation of vision and hearing results.,Administrator has created a outlook calendar remainder to ensure they are to date with all medical requirements. Administrator also does weekly audits to ensure all required documentation is available upon request.  
04/09/2025,748.505(b)(6) - Personnel,Personnel,No,04/16/2025,04/28/2025,E:Personnel,Medium High,Yes,Two staff files were missing reference check documentation. ,Administrator has created a checklist and will be dated the date the items are inputted in the staff files. Administrator will conduct a monthly audit to ensure documentations are available upon request. 
04/09/2025,748.535(1) - Personnel,Personnel,No,04/15/2025,04/28/2025,E:Personnel,Medium,Yes,It was determined during the interviews process that staff is not present a minimum of 30 hours per week. ,Administrator is required to clock in when present at the operation. CEO and treatment director conduct audits to ensure staffs hours are verified. 
04/09/2025,748.2151(d) - Medication,Medication,No,04/16/2025,04/28/2025,L:Medication,Medium High,Yes,"The medical count to one child file is not correct. The medication counts on the form stated 42 pills, but the actual count is 40.5 pills left in the blister. ",Administrator retrained all staff to ensure proper documentation is done while administrating medication. The staff also conducts multiple audits during the day to ensure the count is correct. Staff has also changed the medication administration procedure to ensure one child in care is receiving the medication and documentation is properly being completed. 
04/09/2025,"748.1339(c) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,04/15/2025,04/28/2025,"I:Admission, Service Planning, Discharge",Low,Yes,It was determined the child in care did not participate in planning and developing the service plan as child in care did not sign the form K-908-3300. ,Administrator is meeting with child in care weekly and reviewing the service plan and allowing child in care to assist in completion of the plan and development. Administrator conducts bi-weekly audits to ensure it is completed properly and available upon request. 
04/09/2025,748.1539(b) - Child Care,Child Care,No,04/16/2025,04/28/2025,J:Child Care,Medium Low,Yes,One child in care's file that was placed on 01/08/2025 did not have a copy of immunization documentation.,Administrator has created an outlook calendar remainder to ensure they are to date with all medical requirements. Administrator also does weekly audits to ensure all required documentation is available upon request.  
04/09/2025,748.1103(d) - Children's Rights,Children's Rights,No,04/15/2025,04/28/2025,H:Children's Rights,Medium,Yes,"Two children files were missing signatures on form K-906-2530. One file was missing child signature, and the other file was missing case worker's signature. ",Administrator has created a checklist and retrained staff to ensure all required documentation is presented upon request. Administrator is also conducting bi-weekly audits to ensure all requirements are being completed in a timely manner. 
03/04/2025,745.651(2)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/18/2025,03/18/2025,Individual Standards Evaluated,Medium,Yes,Operation has not validated peoples list. ,The operation has successfully validated all background checks and will continue to do so every three months to ensure that all active employees are compliant and that records are current for personnel actively working within the organization. The administrator will conduct a monthly audit to ensure the validation is completed as required. The administrator will also add a remainder to the organization calendar to ensure its completed. 
03/04/2025,748.363(1) - Reports and Record Keeping,Reports and Record Keeping,No,03/18/2025,03/18/2025,D:Reports and Record Keeping,Medium,Yes,Job description in a staff file is missing for a LCCA position and staff is direct care staff. ,"Our operation has corrected the mislabeling of an employee's position title. To maintain compliance, we have implemented a checklist to ensure all required documents are accurately filed in staff records."
03/04/2025,748.363(7) - Reports and Record Keeping,Reports and Record Keeping,No,03/18/2025,03/18/2025,D:Reports and Record Keeping,Medium,Yes,Two staff files are missing the notarized affidavit documentation. ,"The organization ensures that personnel records are thoroughly completed, encompassing all legally required documentation and adhering to minimum standards. The operation created a checklist that will be checked by the administrator during a monthly audit. "
01/22/2025,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/20/2025,07/25/2025,Individual Standards Evaluated,High,Yes,A child was injured during an altercation. ,"Email response from CEO stating We have taken the time to complete all requested exercises related to staff and volunteer retraining. This includes the following:
	A 4-hour Crisis Prevention Intervention (CPI) refresher training for all staff and volunteers, with a specific emphasis on physical intervention.
	The completed CPI training sign-in sheet (attached).
	Training certificates for each participant, which include the employees name, date of training, total training hours, trainers name, and signature (attached).
	Signed acknowledgment forms from each participant confirming their understanding that CPI-approved physical restraints are to be used only as a last resort (attached).
-Attachments have been uploaded to Documents Library.

A follow-up inspection was conducted, there were no concerns, inspector reviewed documents."
12/05/2024,748.2151(c)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/03/2025,02/01/2025,Individual Standards Evaluated,Medium High,Yes,Dosages were missing for 4 medications on the child's medication logs. ,"Email recieved from the operation:

All individual Medication Inventory Sheet Top headings including the dosages were completely filled out, dates, etc. were double checked for error. Administrator/Treatment Director/ CEO will manage these logs solely, train & supervise direct care until further notice."
12/04/2024,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/09/2024,12/05/2024,Individual Standards Evaluated,Medium,Yes,Operation was using medication log with only the child in cares name and the rest of the form was left blank. ,"All individual Medication Inventory Sheet Top headings were completely filled out, dates, etc were double
checked for error. Administrator/Treatment Director/ CEO
will manage these logs solely, train & supervise direct care until further notice."
06/07/2024,748.111 - Organization and Administration,Organization and Administration,No,06/21/2024,07/13/2024,C:Organization and Administration,Medium,Yes,"The policy did not mention child's right to mail, visitations, gifts and topics that are required.","Administrator had revied child care policy has and has mentioned childs right to mail, visitation,
gifts and other topics that are required. The administrator will ensure all policies are adopted and signed once approved by licensing representative. 
"
06/07/2024,748.113(5)(A) - Organization and Administration,Organization and Administration,No,06/21/2024,06/13/2024,C:Organization and Administration,Medium High,Yes,While reviewing the policy the statement regarding during orientation the emergency behavior intervention will be explain in a manner the child can understand was missing. Examples different languages or pictures.,The administrator has revised the EBI policy to meet minimum standards requirements. The administrator will ensure all policies are adopted and signed by the CEO once they are approved by licensing representatives. 
06/07/2024,748.121 - Organization and Administration,Organization and Administration,No,06/21/2024,06/13/2024,C:Organization and Administration,Medium High,Yes,"Policy does not mention required annual training, methods to increase employee awareness, strategies and actions to prevent abuse and neglect of children. ",Operation has updated the Abuse and neglect policy with revisions to mention annual trainings per minimum standards. Administrator will ensure all policies are signed and adopted once approved.  
06/07/2024,748.109 - Organization and Administration,Organization and Administration,No,06/21/2024,06/13/2024,C:Organization and Administration,Medium,Yes,"While reviewing the policy the following descriptions were missing, ages of acceptance and type of programs the operation offers. ",Administrator has revised and made corrections to admission policy meeting the minimum requirements. The administrator will adopt and get the policy signed once approved by licensing representative. 
