Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
07/09/2025,748.751(b)(2) - Personnel,Personnel,No,07/14/2025,07/14/2025,E:Personnel,Medium Low,Yes,Results of pre-employment screening were not documented in an employee's file. ,"Following inspection, Administrator met with HR department personnel and reviewed the standards regarding previous employment screenings for new hires. The team member who is primary in conducting verifications stated that their current practice for conducting and documenting their verification attempts, and the steps supported the expectations of the minimum standards. "
06/06/2025,748.1501(a)(1) - Child Care,Child Care,No,06/13/2025,06/12/2025,J:Child Care,Medium,No,A child who was admitted into care on 02/15/2022 did not receive dental care until 01/10/2024.,The LCCA emailed the following corrective action: The nursing supervisor has now changed how the medical reminders will be addressed in their electronic records and closed out to ensure an appointment has been made. Nursing will also document in the record any obstacles to scheduling time sensitive required documents. 
06/06/2025,748.1583(b) - Child Care,Child Care,No,06/13/2025,06/12/2025,J:Child Care,Medium Low,No,Child files were observed to be missing TB exam documentation.,"The operation is implementing a more uniform practice in how and where electronic documents are stored, so they can be easily located. "
03/13/2025,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/12/2025,06/06/2025,Individual Standards Evaluated,High,Yes,Children in the staff reported that one or more staff members have been observed sleeping during the overnight shift.,"Inspector conducted an in-person follow-up on 06/06/25. During a walk-through of each of the houses, inspector observed child/caregiver ratio to be in compliance and no supervision concerns. On June 9, 2025, the agency's administrator inspector reported that a quarterly staff meeting was held on June 6, 2025, about staff staying awake during the overnight shift. All night staff members attended the meeting."
03/08/2025,748.2307(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/22/2025,05/27/2025,Individual Standards Evaluated,High,Yes,Both the victim and the other collateral children in care that were interviewed made similar outcries that a staff member used a cell phone to tap them on their heads to redirect them. ,"Physical follow up was completed at the operation on 5/27/2025.  I spoke with Administrator as well as staff.  The staff member confirmed that he had been re-trained by administrative staff regarding safety care, documentation training as well as discussing discipline and consequences at the operation.  On 5/21/25 a training was held with identified employee. Review of de-escalated interventions and strategies. Review of verbal and physical prompting techniques. Review of approved discipline techniques. 
A copy of the agenda, who was preset, and the trainer was provided by the director and uploaded into the documentation library. 
"
02/08/2025,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/10/2025,04/08/2025,Individual Standards Evaluated,Medium High,No,"During the investigation, it was reported through multiple interviewees that multiple staff were overheard using profanity.","Administrator Vanessa Eckenrode emailed a corrective action plan that detailed a training will be conducted on the upcoming shift change to address professionalism, mindfulness, and the expectations of Bayes for their employees.  "
11/18/2024,748.125(c)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/25/2024,11/19/2024,Individual Standards Evaluated,High,Yes,Neither of the four employee files reviewed were observed to have an annual Suicide Training.,Each of the four employees completed their annual Suicide Training and certificates were emailed to inspector. 
09/27/2024,748.303(a)(3)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/29/2024,10/23/2024,Individual Standards Evaluated,Medium High,Yes,"A staff member documented that a staff bent a child's fingers back causing the child pain, but the incident was not reported to the abuse/neglect hotline within the time frame required by minimum standards.","On 10/23/2024 an email was received form the operation stating the following: Administrator spoke with the staff who submitted the report and the staff they asked to turn it in for them and reviewed proper procedure for submitting concerns.  Reviewed the options for reporting concerns including anonymous reporting (statewide intake and within BAC). Reviewed reporting methods available within BAC: paper form, electronic form, and ricog@bayescenter.com. Reviewed how to submit anonymous RICOG (paper is only option for this or email from unassociated email account) In addition, Supervisor reviewed with the staff in each residence the expectations and processes for reporting concerns. "
09/22/2024,748.2151(d) - Medication,Medication,No,09/27/2024,09/27/2024,L:Medication,Medium High,Yes,Six medication logs for four children in care were observed to have an inaccurate count of medication remaining documented on the log compared to the actual count. ,The operation created a log where all count discrepancies will be documented on the log for a nurse to review. Staff will not update the system themselves. Nurses will also be completing a paper audit/med count for the following week to identify all affected records and make corrections as needed. Any identified errors will be addressed with the appropriate med administer. 
09/22/2024,748.2151(c)(5) - Medication,Medication,No,09/27/2024,09/27/2024,L:Medication,Medium High,Yes,A medication log reviewed for one of six children did not show a documented amount of medication administered or remaining count from September 1st through 22nd. ,"The operation identified a glitch in their electronic system used to document administered medication, which was the cause of this error. The error was reported and corrected so that administered medication is now accurately documented. "
09/21/2024,748.303(a)(3)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/21/2024,10/16/2024,Individual Standards Evaluated,Medium High,Yes,A child made an outcry of abuse by staff and the staff that it was reported to did not report it for several weeks. ,"Reviewed the options for reporting concerns including anonymous reporting (statewide intake and within BAC) Reviewed reporting methods available withing BAC; paper form, electronic form, and rig@bayescenter.com. Reviewed how to submit anonymous RICOG (paper is only option for this or email from unassociated email account) In addition, Supervisors reviewed with the staff in each residence the expectations and processes for reporting concerns. "
06/06/2024,748.4083(a) - Transportation,Transportation,No,06/07/2024,06/10/2024,R:Transportation,Medium High,Yes,One of the three transportation vans was observed to have a missing arm rest that exposed a small protruding metal piece on the side of the seat utilized by children in care. A second vehicle was observed to have an inoperable headlight. ,"As of 06/07/2024, both vans were taken out of the pool of vehicles used for transporting children. They will not be used for transporting children until the needed repairs have been made. "
06/06/2024,748.303(a)(3)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/13/2024,06/10/2024,Individual Standards Evaluated,Medium High,Yes,Two of the five employee files were observed to have disciplinary actions detailing inappropriate discipline methods of children in care. These incidents were not reported to Licensing. ,"Administrator shared information for reporting with the Leadership Team. Administrator informed the team members that she must receive notification of all disciplinary actions, such as the ones identified in this inspection, so that appropriate reporting can be completed. HR Manager and HR administrator to ensure the Administrator receives notification/documentation when these actions occur. "
