Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
12/20/2024,748.2151(d) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/26/2024,01/16/2025,Individual Standards Evaluated,Medium High,Yes,"While reviewing medication logs, it was discovered that the pill count on a child's medication log did not match the number of pills in the medication bottle.","While reviewing medication logs, it was discovered that the pill count on a child's medication log did not match the number of pills in the medication bottle."
10/17/2024,748.2003(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/19/2024,12/20/2024,Individual Standards Evaluated,Medium High,Yes,Prescribed medication was not being administered to child as per health care professional orders. ,
05/31/2024,748.3301(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/14/2024,06/14/2024,Individual Standards Evaluated,Medium,Yes,One bedroom has a blind with broken slats and a hole in the door. Another bedroom has a hole in the closet and writing on the wall.,"In Room 1 a picture was taken of the hole in the closet being repaired. In Room 1 a picture was taken of the writing on the wall being cover. 

In Room 2 a picture was taken of the blinds being repaired and the hole in the door. 

 In Room 2 a picture was taken of the blind and hole in the door being repair. 
"
05/29/2024,748.1337(b)(1)(H)(i) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/23/2024,07/12/2024,Individual Standards Evaluated,High,Yes,Service plan did not include a plan to address the three high-risk behaviors documented. ,"An email was received from the administrator addressing the three high-risk behaviors. The administrator stated that the operation will ensure that the high-risk behaviors are documented in all service plans. High-risk behaviors will be staff with staff prior to the plan to ensure it is being implemented. The service plan can be found in the document library. 

"
01/07/2024,748.126(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/13/2024,03/19/2024,Individual Standards Evaluated,Medium,Yes,Four of four staff interviewed were not aware of the operation's policies and procedures regarding searches. ,A meeting was conducted on 3/18/2024 at the operation. Each staff sign a memo stating that they understand the policies and procedures regarding searches. The signature page can be found in the document library.
01/07/2024,748.1337(b)(1)(N) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/13/2024,03/19/2024,Individual Standards Evaluated,Low,Yes,An initial service plan did not include all required signatures of the service planning team.,"I, RCCR Tommie Moore received a copy of the initial service plan with all required signatures. The initial service plan can be found in the document library."
01/07/2024,748.685(c)(6) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/13/2024,03/19/2024,Individual Standards Evaluated,Medium,Yes,"The operation was not following safety requirements listed in a child's service plan. The operation allowed a child in care to possess a sharp object and have access to social media.  
","The operation conducted a meeting with each staff member on 3/18/2024. Each signed the memo stating that they will read, understand and implement and follow all the information listed on each child service plan. The signature page can be found in document libaray.
"
12/01/2023,748.311(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/07/2024,02/05/2024,Individual Standards Evaluated,Medium,Yes,"The child's age, gender and date of admission was missing in eight of the eight serious incident reports reviewed. ","An email was sent from the case manager showing eight of the eight serious incidents reports with child's age, gender and date of admission on each report. Each serious incident report can be found in the document library. "
05/22/2023,748.2151(b)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/31/2023,05/31/2023,Individual Standards Evaluated,Medium High,Yes,Five children were administrator medications at the wrong time. Medications log was not documented correctly. Medications log shows that medications were administer at 8:00 PM. Medications  and medications log were review at 7:38 PM.,Five children were administrator medications in a timely manner. During the inspection staff was observed recieving medcations.
05/03/2023,748.2003(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/22/2023,05/22/2023,Individual Standards Evaluated,Medium High,Yes,Information gathered indicates that the operation failed to give a child in care the prescribed dosage of 1 ½ tablets (75mg) of Seroquel on 09/21/2022. The medication log shows the child was administered 1 (50mg) tablet instead. ,A follow-up inspection was conducted. Medication was compliance with the medication orders.
