Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
07/30/2025,748.1103(a) - Children's Rights,Children's Rights,No,08/13/2025,07/31/2025,H:Children's Rights,Medium,Yes,"During the inspection of Child's Rights,  two child files did not have a signed child rights form.",Pegasus treatment director met with the two children about their child rights and had them sign the rights for the child files. The operation met with all children on campus and explained their child rights and had them sign the document for their files. 
07/21/2025,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/19/2025,09/19/2025,Individual Standards Evaluated,High,Yes,It was determined that two children in care were able to expose himself to another child due to lack of staffs supervision.,"RCCR met with the Administrator to discuss the compliance plan provided on 09/16/2025. As per the Administrator, close supervision of children within sight is a policy for the operation given the high-risk history of the children. The Administration have given the employee subject to this investigation, a disciplinary action which is kept in their employee file. The Administration have spoken to staff about the related supervision concerns and reminded all staff to follow the operation's supervision policy and intervene when high risk behaviors are present. "
04/19/2025,748.1531(d) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/24/2025,07/02/2025,Individual Standards Evaluated,Medium High,Yes,The 4/19/25 medical report states that the child was to be seen by primary care physician within 2-4 days and he was seen 12 days later on 5/1/2025. ,"The operation provided a letter with the following steps that will be implemented to address the concern of getting children to follow up appointments. The letter was dated 6/22/2024. I received the info after date and will not cite due to accident of forwarding to worker. 

From this date forward, when a Pegasus Schools, Inc. resident goes to the Emergency Room for treatment and is required to follow up with their Primary Care Physician, the medical staff attending the appointment will:

1. Clarify with the ER Physician if the follow up appointment with the PCP can be done during the PCPs normal visit to the Pegasus campus (generally a rotating schedule every other Thursday). If the follow up appointment can be done during the regular rotation, medical staff will ensure that the paperwork provided by the ER showing the correct time frame listed under follow up recommendations.

2. If the follow up appointment is needed before the PCPs normal scheduled visit to the Pegasus campus, the medical staff will:
Attempt to set up a virtual appointment with Olivia during the appropriate timeframe mandated by the ER discharge paperwork (if acceptable and appropriate to do so), or; Have the resident return to the Emergency Room for a follow-up within the timeframe mandated by the ER discharge paperwork."
04/14/2025,748.1009(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/20/2025,07/02/2025,Individual Standards Evaluated,High,Yes,"During the investigation, it was reported that staff was out of ratio when incident of a child hitting another child with a stick.","I had a phone discussion with Eric Deyhos, Administrator regarding the citation. He asked questions about the citation. He says that he has been struggling to address the issue as he needs to hire new staff as he is short staffed. We talked about how he addressed issue in the past. He states that he met with staff on 5/2/2025 in a prior citation and told them to call for help before taking breaks. He provided a letter in regard to how he will continue to meet ratio. During a staff meeting on the week of 6/24/2025 to 6/27/2025, staff were given reminders to provide the level of supervision necessary to ensure each child's safety and well-being at all times. "
04/07/2025,748.1003(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/02/2025,05/09/2025,Individual Standards Evaluated,Medium High,Yes,"It is determined staff become out of ratio when attending to high-risk situations of restraints, as well as smoke breaks. ","Administrator, Eric DeHoyos, provided the following compliance on 5/2/2025: During staff meetings the week of 4/28/25 - 5/1/25, all staff were reminded always providing the level of supervision necessary to ensure each child's safety and well-being. A discussion was held with administrator about how they will work on covering gaps in ratio when needed. He states that they have informed staff to call for help if they needed to step away. He says that they maintain 1 to 5 ratio at all times. "
11/26/2024,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/17/2025,02/12/2025,Individual Standards Evaluated,High,Yes,It was confirmed a staff member providing overnight supervision fell asleep while caring for children.  ,In person inspection completed at the operation. No concerns noted and operation was able to confirm compliance plan implemented is in place and seems to be doing well.
11/15/2024,748.303(a)(5)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/06/2025,12/30/2024,Individual Standards Evaluated,Medium High,Yes,"The operation did not report to a child's parent, in a timely manner, that their child made an outcry of abuse due to incidents involving another child in care. ",The operation provided a compliance response due to citation regarding serious incident notification to parent. Additional training was provided to the staff who failed to complete the notification. Standard and policy regarding requirements for serious incidents was reviewed with the employee. 
11/08/2024,748.2455(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/20/2024,12/31/2024,Individual Standards Evaluated,Medium High,Yes,"During the course of the investigation, it was determined that a child was restrained without an emergency situation.","The operation provided a follow-up regarding the citation for EBI use outside of an emergency situation. Caregiver completed a 4.5 hour refresher EBI course focusing on verbal de-escalation techniques. An additional course, Recognizing, Reporting and Preventing Child Abuse Training was also completed by this caregiver. All other staff was reminded of the specific behaviors that would warrant an EBI and only as a last resort. "
11/08/2024,748.2455(a)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/20/2024,12/31/2024,Individual Standards Evaluated,Medium High,Yes,"During the course of the investigation, it was determined that de-escalation techniques were not used.","The operation provided a follow-up regarding the citation for failing to use de-escalation prior to an EBI. Caregiver completed a 4.5 hour refresher EBI course focusing on verbal de-escalation techniques. An additional course, Recognizing, Reporting and Preventing Child Abuse Training was also completed by this caregiver. All other staff was reminded of the specific behaviors that would warrant an EBI and only as a last resort. "
10/25/2024,748.2101(7) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/25/2024,10/25/2024,Individual Standards Evaluated,Medium High,No,It was observed that an expired medication was left in the medication locker and was still being used.  ,
