Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
07/16/2025,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/03/2025,09/02/2025,Individual Standards Evaluated,Medium High,Yes,A caregiver failed to demonstrate self-control and good judgement when he poked a child in care and did not maintain appropriate personal boundaries.  ,The operation has placed the staff on a developmental plan which talks about boundaries with children in care as well as operational policies.  Follow up will be conducted at least ever 2 weeks.  
04/11/2025,748.1337(b)(1)(D)(ii) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/04/2025,06/13/2025,Individual Standards Evaluated,Medium High,Yes,Caregivers were not providing supervision to children in care as required by the child's service plan.  The service plan indicates that children in care must be checked on every 15 minutes and caregivers indicate that they often check on residents one time per hour.  ,Operation staff have been spoken to regarding supervision. 
11/24/2024,748.3421(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/04/2025,03/25/2025,Individual Standards Evaluated,Medium High,Yes,Caregivers failed to ensure that all cleaning supplies were properly secured following use by children in care.  ,The operation has completed a houseparent meeting which included ensuring that all direct care staff will complete a daily sweep of the home to ensure that cleaning supplies are removed and appropriately stored.  An inspection completed at the operation on 3/6/25 as well as 11/27/24 and all cottage homes were inspected.  No cleaning supplies or dangerous chemicals were observed.  
11/24/2024,748.2301(b)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/04/2025,03/25/2025,Individual Standards Evaluated,Medium,Yes,"Children in care were given an early bedtime for setting off bedroom alarms in emergency or non-emergency situation, which is not permitted in operation policies.  ",An email received from operation administrator indicated that all campus staff were re-trained regarding the therapeutic discipline procedure for the operation.  They have ensured that all direct care staff are aware of what is permitter per minimum standards as well as the operation policies.  
07/04/2024,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/09/2024,08/08/2024,Individual Standards Evaluated,High,Yes,Caregivers failed to follow the supervision instructions for a child in care which resulted in a child being injured during a physical altercation. ,Physical follow up completed on 8/8/2024 as part of inspection id 4014013.  The administrator for the operation reported that the staff involved in the incident have been retrained regarding the supervision requirements of the youth in the home as well as expectations and policies for supervision at the operation.  All house parents on campus were provided with an email describing supervision inside and outside the home.  The administrator reported that they plan to discuss supervision with all house parents when school resumes and they have their first house parent meeting of the year on 8/21/2024.
05/11/2024,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/19/2024,06/18/2024,Individual Standards Evaluated,Medium High,Yes,Staff members chased a child in care who had taken a vehicle belonging to the operation without permission. Speeds were between 40 mph to 80 mph. The child knew he was being followed and could have been involved in a car accident where he could have been seriously injured.,An email with updated policies was received from the operation administrator.  They have updated policies to include how they should handle situations if a child leaves the operation without permission in an unauthorized use of a vehicle.  The policy states that the staff will follow the child to determine what direction they are going and will abide by all traffic laws while following and not exceed the speed limit or drive in an unsafe manner and must also notify law enforcement regarding the situation and follow any instructions provided by law enforcement.  
03/28/2024,748.2103(a) - Medication,Medication,No,04/02/2024,04/04/2024,L:Medication,Medium High,Yes,One home had expired over the counter medication observed with current medications.  ,One home had expired over the counter medication observed with current medications.  
08/04/2023,748.2307(8) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/15/2023,09/13/2023,Individual Standards Evaluated,Medium High,Yes,A caregiver humiliated and ridiculed a child when he was unsuccessful completing a task.  This occurred in front of other children in care. ,An email received from operation administrator stated that the staff member involved in the incident is no longer employed at the operation and was terminated immediately following the incident.  The operation has completed a policy review with all direct care staff which reviewed the areas of concern.  This information will also be reviewed during staff meetings.  
08/04/2023,748.2553(2)(C) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/15/2023,09/13/2023,Individual Standards Evaluated,Medium High,Yes,A caregiver did not release a child after the child was calm and no longer a danger to himself or others.  The child reported to the caregiver that he was in pain during the restraint and the caregiver also failed to release him in a timely and appropriate manner. ,An email received from operation administrator stated that the staff member involved in the incident is no longer employed at the operation and was terminated immediately following the incident.  The operation has completed a policy review with all direct care staff which reviewed the areas of concern.  This information will also be reviewed during staff meetings.  
08/04/2023,748.2551(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/15/2023,09/13/2023,Individual Standards Evaluated,High,Yes,A caregiver failed to reduce the risk to a child in care when a child was restrained without the presence of a second staff.  The other children in care were present and continued to ridicule the child and kick the child during the containment without redirection from the caregiver. The caregiver failed to release the child from the containment when it was determined that he was not doing a proper hold until he was instructed to do so my administrative staff.  ,An email received from operation administrator stated that the staff member involved in the incident is no longer employed at the operation and was terminated immediately following the incident.  The operation has completed a policy review with all direct care staff which reviewed the areas of concern.  This information will also be reviewed during staff meetings.  
06/18/2023,748.685(a)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/28/2023,08/08/2023,Individual Standards Evaluated,High,Yes,Caregivers failed to provide a safe environment and proper supervision resulting in a child in care using the hot tip of a candle lighter to burn another child in care.,
06/17/2023,748.1433(d) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/23/2023,08/24/2023,Individual Standards Evaluated,Low,Yes,A child was notified of his discharge the day before he was discharged. The discharged documentation did not have the justification for the child not being informed four days in advance of the non-emergency discharge.,"A follow up was completed at the operation and the operation has updated the discharge template. The have added If not given 4 days notice, a LCCA must provide rationale for such to their discharge summary template, and they have also added a time box to be filled in on the template for when a resident is notified.  "
05/31/2023,748.3021 - Individual Standards Evaluated,Individual Standards Evaluated,No,06/09/2023,06/22/2023,Individual Standards Evaluated,Medium High,Yes,The storage closet utilized for recreational supplies was found to be not appropriately secured and allowed unsupervised access to children in care.  ,The storage room was appropriately locked and secured.  No concerns were noted. 
05/31/2023,"748.1337(b)(1)(D)(ii) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,06/09/2023,06/05/2023,"I:Admission, Service Planning, Discharge",Medium High,Yes,8 child records reviewed did not include information specific to the discipline techniques utilized by the operation.  ,"An email received from operation administrator shows the information related to discipline has been added to the service plans under the section of ""identified needs.""  The operation stated that there will be a reference in all service plans to their Therapeutic Discipline procedure, which includes the child's preferred de-escalation techniques, as well as previous discipline which has been proven effective for the child.  "
05/15/2023,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/23/2023,06/16/2023,Individual Standards Evaluated,Medium High,Yes,A caregiver failed to use prudent judgement when he allowed a female resident to enter the male community,"An email from the operation administrator contained a corrective action plan regarding this citation.  The staff member involved in this citation has been placed on a Performance Improvement Plan for the following 90 days which includes shadowing a more seasoned on-call worker, utilizing on call regarding additional assistance on how to handle certain situation, review of supervision and transportation procedures for the operation, as well as re-training in SAMA.  The operation also determined that the staff member may have been distracted as his child was with him during this event, and therefore may have had to divide his attention between the child in care, and his child.  The operation stated that they have updated staff members and ensured that they are aware that they must be able to preform assigned duties without having to be responsible for care for their own children. 

Physical follow up was completed on 6/22/23.  Copies of the signed performance plan were reviewed as well as a discussion with staff member's supervisor.  "
03/09/2023,748.2307(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/21/2023,04/21/2023,Individual Standards Evaluated,Medium High,Yes,A caregiver used sarcastic comments in order to manage a child in care's behavior.  ,"An email from the operation administrator shows that the staff member was placed on a performance improvement plan, which included additional trainings and bi-weekly meetings with mentors in order to assist with better developing skills related to the population that the operation serves.  "
10/04/2022,748.930(b)(3) - Training and Professional Development,Training and Professional Development,No,10/18/2022,10/11/2022,F:Training and Professional Development,Medium High,No,Two staff members out of 11 did not have normalcy training as required by Minimum Standar requirements.  ,An email was received from the operation which stated that that did not have normalcy training have now completed the training. It was done prior to them being able to work at the operation.  At the house parent/direct care staff meeting on 10/5/2022 it was discussed with that all annual training must be completed prior to the due date.  The training reminder system was reviewed and found to be working properly.  
10/04/2022,748.3301(a)(3) - Physical Site,Physical Site,Yes,10/04/2022,,P:Physical Site,High,Yes,An electrical fan was located in the pool area near the water.   ,
10/04/2022,748.2003(b)(3) - Medication,Medication,No,10/05/2022,10/05/2022,L:Medication,Medium High,Yes,Two child's medications were not given as prescriA child was prescribed Cipro/Dexa to be given every 12 hours for 7 days.  The medication was only given for 5 days.  Another child was prescribed Clindamy/Ben Gel to be applied to the area twice daily inthe morning and evening for acne and on 9/30 and 10/1 the medication was only given once.  ,"An email was received from operation administrator which states that procedures for distributing medications has been reviewed with house parents, including giving medication as prescribed.  The operation also updated internal procedures related to picking up prescription medications in a timely manner.  

Follow up was completed at the operation on 10/11/2022.  Medication was reviewed and found to be in compliance and appropriately administered to children in care.  "
08/12/2022,748.3421(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/22/2022,09/20/2022,Individual Standards Evaluated,Medium High,Yes,Bleach was observed in the dish room of the facility and accessible to children in care.  ,"An email was received from operation administrator.  She stated that following the inspection all chemicals were immediately secured.  They checked the locks and ensured that appropriate staff had a key.  Dining staff have all been reviewed on the requirement of cleaning chemicals being appropriately secured.  For the following three months, there will be weekly checks to ensure that the cleaning supplies are appropriately secured. 

Inspection completed on 9/23/22 which confirmed that cleaning supplies were appropriately secured.  "
07/15/2022,748.2307(8) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/16/2022,09/14/2022,Individual Standards Evaluated,Medium High,Yes,A caregiver yelled and slammed a door in the presence of children in care.  ,"An email was received from operation administrator.  The facility has placed cameras in all common areas of the home. The caregivers in the home have completed additional EBI training.  They have also reviewed the policies and procedures regarding discipline, employee code of conduct and client/adult interactions.  

Follow up completed by inspection on 9/23/22.  I spoke with a staff member and a child in care.  It was confirmed that the caregiver had been retrained regarding the policies regarding discipline at the operation. "
03/24/2022,748.3301(a) - Physical Site,Physical Site,No,04/01/2022,03/29/2022,P:Physical Site,High,Yes,One bathroom was observed with a shower light hanging with electrical wiring exposed.  ,Follow up was completed at the operation on 4/6/22.  The previous concern with the shower has been corrected.  the operation continues to use a check list for the staff to do a thorough review of each home on a monthly basis to ensure that the homes remain in good repair.  The operation also uses a work order system where any repairs that are needed are turned in and fixed as soon as possible. 
01/02/2022,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/01/2022,03/03/2022,Individual Standards Evaluated,Medium High,Yes,Overnight staff failed to use prudent judgment by leaving children at home without ensuring relief staff had arrived.  Staff authorized to provide respite care failed to follow-up when children did not arrive at the respite cottage.,"During a follow up inspection 3/3/22, it was discussed that the operation has spoke with all staff, especially overnight staff, that they are to ensure there is relief prior to leaving the home.  If a relief person does not arrive or is not present then they are to contact management.  The staff member that was directly involved in this incident was seasonal, and is not employed at the operation.  "
01/02/2022,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/01/2022,03/03/2022,Individual Standards Evaluated,High,Yes,"Three children in care, ages 17, 16, and 15, were left unsupervised for 2 and a half days.  ","A follow up inspection was completed at the operation on 3/3/22.  The operation has developed new protocols to ensure that during respite children are always accounted for.  The operation has also updated the alarm system to include notification to home life supervisors, which would have benefited during this particular situation.  "
08/11/2021,748.2101(1) - Medication,Medication,No,08/25/2021,09/03/2021,L:Medication,High,Yes,Medication was observed to be unsecured in three out of seventeen homes.  ,The operation has reviewed medications and ensured that all self adminstered medications had the appropriate labels. The supervisors have reviewed all medications to ensure that everything is up to date.  
08/11/2021,748.3239(a) - Safety and Emergency Practices,Safety and Emergency Practices,No,08/25/2021,09/03/2021,O:Safety and Emergency Practices,Medium,Yes,Thirteen out of seventeen homes have not had a fire drill or severe weather drill within the past six months.  ,Fire drills for all homes with occupants have been completed.  These will be done on a quarterly basis in order to ensure that all residents in the home are aware of the procedures related to homestudies.  
08/11/2021,748.3301(a) - Physical Site,Physical Site,No,08/25/2021,09/03/2021,P:Physical Site,High,Yes,"Seventeen homes were observed at the operation.  Concerns included numerous bedrooms having open food items, lighting needing to be replaced, sinks that did not properly drain, and mold in the showers. ",The supervisory staff have ensure that the homes have been appropraitely cleaned.  They have changed chore schedules to ensure that the home is appropraitely cleaned.  They have provided the staff and residents with the process of deep cleaning different areas of the home.  
