Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
03/05/2025,748.1583(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/13/2025,05/23/2025,Individual Standards Evaluated,Medium,No,Staff Anthony Baldwin left the operation and went to work for another place not related and came back 2 years later. He had no updated TB test in file since being unemployed by a regulated operation within the previous 12 months.,"The operation sent the following correction on 5/23/25: The administrator/LCCA will ensure that all rehired staff paperwork and new hire packets are up to date and in compliance with minimum standards.
"
03/05/2025,748.505(b)(5) - Personnel,Personnel,No,03/13/2025,05/23/2025,E:Personnel,Medium,No,"Anthony Baldwin   DOH: 6-17-24
748.505(5)-No Affidavit Form 2912 in file
",The operation sent the following correction on 5/23/25:The administrator/LCCA will be the first point of contact to verify potential clients previous employers in employment history.  The administrative assistant will a spreadsheet with the times and dates of the attempts made by contacting the previous employers. 
03/05/2025,748.751(a)(2) - Personnel,Personnel,No,03/13/2025,05/23/2025,E:Personnel,Medium,No,Staff Anthony Baldwin No verification in file that employment history or reference checks were completed,"The operation sent the following correction on 5/23/25:The administrator will ensure that all employee binders are completed, and all documents are in binders.  The executive director will complete a monthly audit once a month to ensure that all binders meet minimum standards requirements."
02/05/2025,748.1003(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/05/2025,03/05/2025,Individual Standards Evaluated,Medium High,Yes,A single caregiver was observed to be present with seven children in care. ,A single caregiver was observed to be present with seven children in care. 
02/04/2025,745.651(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/05/2025,03/05/2025,Individual Standards Evaluated,Medium,Yes,The operation has an active background check for staff that no longer works for the operation. ,The operation has an active background check for staff that no longer works for the operation. 
01/17/2025,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/05/2025,03/05/2025,Individual Standards Evaluated,Medium High,Yes,Prudent judgement was not demonstrated when children in care were asked to write a reference letter for a caregiver caring for the children. ,Prudent judgement was not demonstrated when children in care were asked to write a reference letter for a caregiver caring for the children. 
11/21/2024,748.930(b)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/31/2024,01/06/2025,Individual Standards Evaluated,Medium High,Yes,1 of 2 direct staff did not have psychotropic medication training.,LCCA will monitor all treatment plan along with the PLSP Rashunda Endsley to ensure that all dates and signatures are in compliance for treatment plan.
11/21/2024,748.1349(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/31/2024,01/06/2025,Individual Standards Evaluated,Low,No,2 children's service plans did not have the parent's signature. ,Sandra Jones as the LCCA and Alice Collins the office assistant will ensure all staff trainings is completed on a monthly basis to ensure AOJ is in compliance. 
11/05/2024,748.2151(b)(1) - Medication,Medication,No,11/12/2024,11/22/2024,L:Medication,Medium High,Yes,"Medication logs reviewed, show no record of medication that was administered.",Abundance of Joy Home Shelter will ensure that all medications are signed for on the client's cumulative record immediately after being administered. 
11/05/2024,748.3701(a) - Recreation Activities,Recreation Activities,No,11/12/2024,11/22/2024,Q:Recreation Activities,Medium Low,Yes,Recreational calendars provided for the past 90 days did not outline an indoor & outdoor recreational activity. ,"Abundance of Joy Home Shelter will ensure Recreational Activities and other Activities that are appropriate to the needs, interests and abilities of children on a daily basis.  An updated calendar was provided. "
11/05/2024,748.3239(b) - Safety and Emergency Practices,Safety and Emergency Practices,No,11/12/2024,11/22/2024,O:Safety and Emergency Practices,Medium,No,There is no record of practice severe weather drills. ,Abundance of Joy Home Shelter will practice severe weather drills every 6 months from the date of the last severe weather dill effective immediately and record on Abundance of Joy Home Shelter Severe Weather form. 
06/10/2024,748.2461(b)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/15/2024,08/26/2024,Individual Standards Evaluated,High,Yes,"During the course of the investigation, it was reported that staff sat on a childs lungs and belly during a restraint. 
Three children interviewed corroborated the child's statement.  ","Effective Immediately: Staff that were involved in the incident was given a refresher immediately for 4 hours. Moving forward, all training will include demonstrations scenarios to avoid inappropriate restraint techniques. During the new hire orientation and quarterly trainings, the CPI instructor will real time scenarios during trainings to ensure the direct care staff is comfortable with the technique The CPI instructor will give the direct care staff a certificate upon completion of the training.

On 8/26/24 RCCR conducted in-person interviews with youth in care to the operation EBI techniques.  "
06/10/2024,748.2461(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/15/2024,08/26/2024,Individual Standards Evaluated,High,Yes,"During the course of the investigation, a child in care reported not being able to breathe during a restraint involving staff sitting on them. The child reported breathing heavily once released.  
Three children interviewed also reported hearing the child say they could not breathe. 
","Effective Immediately: Staff that were involved in the incident was given a refresher immediately for 4 hours. Moving forward, all training will include demonstrations scenarios to avoid inappropriate 
restraint techniques. During the new hire orientation and quarterly trainings, the CPI instructor will real time scenarios during trainings to ensure the direct care staff is comfortable with the technique The CPI instructor will give the direct care staff a certificate upon completion of the training. 

On 8/26/24 RCCR conducted in-person interviews with youth in care to the operation EBI techniques.  "
05/10/2024,748.2151(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/10/2024,07/10/2024,Individual Standards Evaluated,Medium High,Yes,The operation did not provide a requested medication log after multiple requests. ,"The LCCA and Administrative Assistant will review and track the medication logs at least three days out of the week to identify any patterns or concerns and to ensure the logs are filled out correct and complete by the staff member that will be administering the meds. The direct care staff members will take a refresher course on completing the med logs in its entirety.  The class will be completed by July 16, 2024."
05/10/2024,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/10/2024,07/10/2024,Individual Standards Evaluated,Medium,Yes,The operation provided medication logs for the month of November that do not contain consistent information.,"medication logs at least three days out of the week to identify any patterns or concerns and to ensure the logs are filled out correct and complete by the staff member that will be administering the meds. The direct care staff members will take a refresher course on completing the med logs in its entirety.  The class will be completed by July 16, 2024."
04/27/2024,748.930(a)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/05/2024,07/04/2024,Individual Standards Evaluated,Medium High,Yes,Several staff members failed to complete required training prior to being counted in ratio.,"During the new hire orientation, the LCCA will monitor all trainings to ensure the direct care staff is completing all trainings before they are being counted in the ratio.  The LCCA will have the direct care staff to sign a training roster for all trainings.  The LCCA have created a new training log to include the 40 hours of supervision training before a staff member is allowed to be in the ratio. The supervisor and LCCA will sign off on the training log and a copy will be placed in the direct care staff employee binder."
03/26/2024,"748.1347(b) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,04/09/2024,04/09/2024,"I:Admission, Service Planning, Discharge",Low,No,One of three youth files reviewed did not contain a signature by the PLSP on the most recent service plan.,An email was received from the operation that included an updated service plan for the youth which included the PLSP's signature. A corrective action plan was also included in the email that indicated the operation will be responsible for ensuring all service plans are signed accordingly moving forward.
03/26/2024,748.930(a)(2) - Training and Professional Development,Training and Professional Development,No,04/09/2024,04/09/2024,F:Training and Professional Development,Medium High,Yes,One out of three employee files reviewed only contained 34 annual training hours instead of the required 50 hours.,An email was received from the operation that included the training log for the employee indicating all required training hours had been completed.
03/26/2024,748.931(b)(1) - Training and Professional Development,Training and Professional Development,No,04/09/2024,04/09/2024,F:Training and Professional Development,Medium High,Yes,The administrator did not have all required annual trainings.,An email was received from the operation that included verification of the missing training for the administrator. A corrective action plan was also included in the email that indicated the operation will be responsible for ensuring all trainings will be completed timely moving forward.
03/26/2024,"748.1205(a)(10) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,04/09/2024,04/09/2024,"I:Admission, Service Planning, Discharge",Medium High,Yes,Two out of four youth files reviewed did not include known contrindications to restraints for the youth.,An email was received from the operation that included the missing information included on an admission assessment for the youth. A corrective action plan was also included in the email that indicated the operation will complete an audit of all current files to include the information and the information has been added to their admission assessment template for future use.
03/26/2024,"748.1437(1) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,04/09/2024,04/09/2024,"I:Admission, Service Planning, Discharge",Medium Low,No,One out of four youth files reviewed did not contain all required documentation detailing a youth's discharge.,An email was received from the operation that included the missing discharge summary for the youth. A corrective action plan was also included in the email that indicated the operation will be responsible for ensuring they are completed timely moving forward.
